Year ,Site_id,Region,Site Type,PM10 Daily Measured,PM2.5 Daily Measured,PM10 Hourly Measured,PM2.5 Hourly Measured,NO2,SO2,O3,Total Days
2020,LN,Lough Navar,Rural Background,n/m,n/m,0,0,n/m,n/m,9,9
2020,LH,Lullington Heath,Rural Background,n/m,n/m,n/m,n/m,-,0,37,37
2020,PEMB,Narberth,Rural Background,n/m,n/m,1,0,0,-,21,21
2020,ROCH,Rochester Stoke,Rural Background,n/m,n/m,7,8,0,-,30,36
2020,SIB,Sibton,Rural Background,n/m,n/m,n/m,n/m,n/m,n/m,29,29
2020,OSY,St Osyth,Rural Background,n/m,n/m,n/m,n/m,0,n/m,26,26
2020,SV,Strathvaich,Rural Background,n/m,n/m,n/m,n/m,n/m,n/m,1,1
2020,WEYB,Weybourne,Rural Background,n/m,n/m,n/m,n/m,n/m,n/m,20,20
2020,WFEN,Wicken Fen,Rural Background,n/m,n/m,n/m,n/m,0,0,31,31
2020,YW,Yarner Wood,Rural Background,n/m,n/m,n/m,n/m,0,n/m,35,35
2021,ABD,Aberdeen,Urban Background,n/m,n/m,-,-,-,n/m,-,-
2021,ABD9,Aberdeen Erroll Park,Urban Background,n/m,n/m,-,-,-,n/m,-,-
2021,ARM6,Armagh Roadside,Urban Traffic,n/m,n/m,1,n/m,0,n/m,n/m,1
2021,BPLE,Barnstaple A39,Urban Traffic,n/m,n/m,0,1,n/m,n/m,n/m,1
2021,BEL2,Belfast Centre,Urban Background,n/m,n/m,0,0,0,0,1,1
2021,BEL1,Belfast Stockman's Lane,Urban Traffic,n/m,n/m,1,n/m,0,n/m,n/m,1
2021,BIRR,Birmingham A4540 Roadside,Urban Traffic,n/m,n/m,1,2,0,n/m,3,6
2021,AGRN,Birmingham Acocks Green,Urban Background,n/m,n/m,-,-,-,n/m,-,-
2021,BMLD,Birmingham Ladywood,Urban Background,n/m,n/m,1,1,0,0,11,12
2021,BLC2,Blackpool Marton,Urban Background,n/m,n/m,0,1,0,n/m,10,11
2021,BRS8,Bristol St Paul's,Urban Background,n/m,n/m,2,1,0,n/m,10,12
2021,BR11,Bristol Temple Way,Urban Traffic,n/m,n/m,3,n/m,0,n/m,n/m,3
2021,BURW,Bury Whitefield Roadside,Urban Traffic,n/m,n/m,0,n/m,0,n/m,n/m,0
2021,CA1,Camden Kerbside,Urban Traffic,n/m,n/m,-,-,-,n/m,n/m,-
2021,CARD,Cardiff Centre,Urban Background,n/m,n/m,0,1,0,0,10,11
2021,CNPR,Cardiff Newport Road,Urban Traffic,n/m,n/m,1,n/m,0,n/m,n/m,1
2021,CARM,Carlisle Morton A595,Urban Traffic,n/m,n/m,-,-,-,n/m,n/m,-
2021,CARL,Carlisle Roadside,Urban Traffic,n/m,n/m,-,-,-,n/m,n/m,-
2021,CHAT,Chatham Roadside,Urban Traffic,n/m,n/m,0,2,0,n/m,n/m,2
2021,CHP,Chepstow A48,Urban Traffic,n/m,n/m,1,1,0,n/m,n/m,1
2021,CHLG,Chesterfield Loundsley Green,Urban Background,n/m,n/m,0,1,-,n/m,n/m,1
2021,CHS7,Chesterfield Roadside,Urban Traffic,n/m,n/m,1,1,0,n/m,n/m,1
2021,COAL,Coventry Allesley,Urban Background,n/m,n/m,1,1,0,n/m,12,13
2021,COBR,Coventry Binley Road,Urban Traffic,n/m,n/m,1,n/m,0,n/m,n/m,1
2021,DERR,Derry Rosemount,Urban Background,n/m,n/m,0,0,0,0,2,2
2021,EA8,Ealing Horn Lane,Urban Traffic,n/m,n/m,13,n/m,n/m,n/m,n/m,13
2021,EB,Eastbourne,Urban Background,n/m,n/m,1,2,0,n/m,n/m,2
